3,29,2,35,2,4,3,1,4,54,2,1,1,1,0,1,0,1,0,1,0,0,1,0,2
2,36,3,56,2,1,4,2,3,30,3,2,1,2,1,0,1,1,0,0,1,0,0,0,1
2,30,2,105,1,5,2,3,2,47,2,1,1,2,1,1,0,1,1,0,0,0,0,0,1
3,29,3,30,4,5,4,4,2,59,3,2,1,1,1,0,0,0,1,0,1,0,0,1,2
2,20,0,7,3,3,2,2,2,40,3,2,2,1,1,1,0,1,0,1,0,0,1,0,2
1,55,3,70,2,3,4,3,3,70,2,3,1,2,1,0,0,1,0,0,1,1,0,0,1
2,45,4,47,1,2,3,2,2,25,3,2,1,1,1,0,0,1,0,0,1,0,1,0,1
3,18,1,25,1,4,1,3,2,40,2,1,2,1,0,0,0,0,1,0,1,0,0,1,1
3,20,1,20,1,5,2,2,3,23,3,1,1,1,1,1,0,1,0,0,1,0,0,0,2
4,15,0,10,2,3,3,1,2,23,3,1,2,2,1,0,1,1,0,1,0,1,0,0,2
2,40,3,40,1,3,3,1,3,45,2,2,1,2,1,0,0,1,0,0,1,0,0,1,1
1,15,4,10,2,1,2,4,4,50,3,1,2,1,1,1,0,1,0,0,0,1,0,0,1
2,17,2,17,6,2,4,1,2,23,3,2,1,2,0,0,0,0,1,0,1,0,0,1,1
4,37,4,68,2,2,2,4,2,26,2,2,1,2,1,0,1,0,1,1,0,0,1,0,1
3,20,2,25,2,4,3,2,1,35,3,1,1,1,1,1,0,1,0,0,1,0,0,1,2
2,17,1,15,3,5,2,4,3,35,2,2,1,2,0,0,0,1,0,0,1,1,0,0,2
1,24,1,23,1,5,3,1,1,45,3,1,1,1,1,1,0,0,1,0,1,0,0,1,1
1,20,2,15,1,3,4,3,2,30,1,2,2,1,1,0,0,1,0,0,1,0,0,1,1
2,50,2,20,2,1,1,3,4,27,2,1,2,2,0,0,1,1,0,1,0,0,1,0,1
1,13,1,14,3,4,3,4,1,59,3,1,1,1,1,0,0,1,0,0,1,0,0,1,2
