3,13,4,24,2,1,3,2,1,50,3,2,2,1,1,0,0,1,0,0,1,0,1,0,1
2,24,1,126,1,5,2,2,4,44,3,1,1,2,1,0,1,1,0,0,0,0,0,0,2
2,27,3,45,4,5,2,3,2,33,3,1,2,2,1,0,0,1,0,0,1,0,0,1,1
1,48,1,78,1,5,3,4,4,42,1,1,1,1,1,1,0,1,0,0,0,0,0,0,2
3,28,2,56,2,1,2,2,1,45,3,2,2,1,1,0,0,1,0,0,0,0,0,1,2
4,10,1,13,5,3,3,4,2,27,3,1,1,1,1,1,0,0,0,0,1,0,1,0,2
2,12,2,44,2,2,1,3,1,58,3,1,1,2,1,1,0,1,0,0,1,0,0,0,2
3,24,1,52,1,4,3,2,3,25,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1
1,36,3,54,3,2,1,3,2,27,2,1,1,1,1,0,0,1,0,0,1,0,0,1,2
1,24,3,17,1,2,2,2,3,29,3,1,1,2,1,0,0,1,0,1,0,0,1,0,2
2,26,2,36,2,4,2,4,3,47,3,1,1,2,1,0,1,1,0,0,0,0,0,1,2
1,36,4,23,1,3,4,2,2,46,3,2,1,2,1,0,0,1,0,0,1,0,0,1,1
3,38,1,33,1,2,1,1,3,45,3,2,1,1,1,0,0,1,0,0,1,0,1,0,1
1,18,1,25,1,1,3,1,3,25,3,1,1,1,1,0,0,1,0,0,1,1,0,0,2
1,2,2,42,2,3,1,2,2,55,3,1,1,1,1,0,0,1,0,1,0,0,0,1,1
2,18,1,44,1,5,3,1,1,33,1,1,1,2,1,0,0,0,1,0,1,0,1,0,1
4,16,3,19,5,3,2,1,4,47,3,2,1,1,1,0,0,1,0,0,1,0,0,1,2
2,12,4,7,1,4,4,3,3,25,1,1,1,1,1,1,0,1,0,0,1,0,1,0,2
3,24,2,37,3,4,4,3,4,45,1,2,2,1,1,1,0,1,0,0,1,1,0,0,2
4,48,1,48,1,1,3,2,3,33,1,1,1,2,1,0,0,1,0,1,0,1,0,0,2
